Version,Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore,Detections,ViolationsIndexes
1.0,2022-06-01 09:59:26,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [201.32122039794922, 143.2100486755371, 270.16910552978516, 271.63830757141113], 'bbox': [0.3145644, 0.29835427, 0.42213923, 0.56591314], 'tracking_id': 0}]",[]
1.0,2022-06-01 09:59:27,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [2.0546483993530273, 173.92115592956543, 149.01201248168945, 476.60834312438965], 'bbox': [0.0032103881, 0.36233574, 0.23283127, 0.99293405], 'tracking_id': 1}]",[]
1.0,2022-06-01 09:59:27,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [-1.7222404479980469, 220.46442031860352, 269.2071723937988, 475.48112869262695], 'bbox': [-0.0026910007, 0.45930088, 0.4206362, 0.9905857], 'tracking_id': 1}]",[]
1.0,2022-06-01 09:59:28,0,0,1.0,[],[]
1.0,2022-06-01 09:59:28,0,0,1.0,[],[]
1.0,2022-06-01 09:59:29,0,0,1.0,[],[]
1.0,2022-06-01 09:59:29,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [214.1325569152832, 146.51713371276855, 381.2152099609375, 411.61505699157715], 'bbox': [0.33458212, 0.30524403, 0.59564877, 0.85753137], 'tracking_id': 4}]",[]
1.0,2022-06-01 09:59:30,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [1.6170692443847656, 179.52770233154297, 217.54060745239258, 484.38846588134766], 'bbox': [0.0025266707, 0.37401605, 0.3399072, 1.0091426], 'tracking_id': 5}]",[]
1.0,2022-06-01 09:59:30,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [-1.6243743896484375, 165.18211841583252, 195.4077911376953, 480.9918022155762], 'bbox': [-0.002538085, 0.3441294, 0.30532467, 1.0020663], 'tracking_id': 5}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [216.7180633544922, 151.93605422973633, 408.09837341308594, 347.83395767211914], 'bbox': [0.33862197, 0.31653345, 0.6376537, 0.7246541], 'tracking_id': 7}]",[]
1.0,2022-06-01 09:59:31,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [235.50857543945312, 136.9640064239502, 397.52010345458984, 331.7866516113281], 'bbox': [0.36798215, 0.28534168, 0.62112516, 0.6912222], 'tracking_id': 7}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [-1.1819791793823242, 165.23174285888672, 152.1379280090332, 479.6495246887207], 'bbox': [-0.0018468425, 0.3442328, 0.23771551, 0.99926984], 'tracking_id': 5}]",[]
1.0,2022-06-01 09:59:31,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [243.5586166381836, 136.92479610443115, 353.34049224853516, 316.62694931030273], 'bbox': [0.38056034, 0.28526, 0.5520945, 0.6596395], 'tracking_id': 7}]",[]
1.0,2022-06-01 09:59:32,0,0,1.0,[],[]
1.0,2022-06-01 09:59:32,0,0,1.0,[],[]
1.0,2022-06-01 09:59:33,0,0,1.0,[],[]
1.0,2022-06-01 09:59:33,0,0,1.0,[],[]
1.0,2022-06-01 09:59:34,0,0,1.0,[],[]
1.0,2022-06-01 09:59:34,0,0,1.0,[],[]
1.0,2022-06-01 09:59:35,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [291.08753204345703, 163.41384887695312, 530.9228897094727, 482.38391876220703], 'bbox': [0.45482427, 0.34044552, 0.829567, 1.0049665], 'tracking_id': 14}]",[]
1.0,2022-06-01 09:59:35,0,0,1.0,[],[]
1.0,2022-06-01 09:59:36,0,0,1.0,[],[]
1.0,2022-06-01 09:59:36,0,0,1.0,[],[]
1.0,2022-06-01 09:59:37,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [198.04845809936523, 171.10107421875, 395.1817321777344, 399.6445655822754], 'bbox': [0.30945072, 0.35646057, 0.61747146, 0.83259284], 'tracking_id': 16}]",[]
1.0,2022-06-01 09:59:38,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [392.45906829833984, 122.94939994812012, 622.2866439819336, 398.88916969299316], 'bbox': [0.6132173, 0.25614458, 0.9723229, 0.8310191], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:38,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [407.0852279663086, 107.31536865234375, 638.5231399536133, 392.00334548950195], 'bbox': [0.63607067, 0.22357368, 0.9976924, 0.81667364], 'tracking_id': 17}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [-4.20741081237793, 159.2115068435669, 173.0810546875, 475.88510513305664], 'bbox': [-0.0065740794, 0.33169064, 0.27043915, 0.9914273], 'tracking_id': 19}]",[]
1.0,2022-06-01 09:59:39,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [429.79270935058594, 121.30969047546387, 620.2291870117188, 371.1664295196533], 'bbox': [0.6715511, 0.25272852, 0.9691081, 0.7732634], 'tracking_id': 17}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [-6.137990951538086, 134.99260425567627, 169.11998748779297, 473.8977813720703], 'bbox': [-0.009590611, 0.2812346, 0.26424998, 0.98728704], 'tracking_id': 20}]",[]
1.0,2022-06-01 09:59:39,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [492.3263931274414, 111.06853008270264, 636.3827896118164, 409.2194366455078], 'bbox': [0.76926, 0.23139277, 0.9943481, 0.8525405], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:40,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [415.5572509765625, 147.72465705871582, 638.8302612304688, 474.1487789154053], 'bbox': [0.6493082, 0.3077597, 0.9981723, 0.98780996], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:40,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [445.0459289550781, 152.88561344146729, 625.9134674072266, 408.5424613952637], 'bbox': [0.69538426, 0.3185117, 0.9779898, 0.8511301], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:41,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [417.89344787597656, 148.8208293914795, 580.5208587646484, 383.0774402618408], 'bbox': [0.6529585, 0.3100434, 0.90706384, 0.798078], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:41,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [387.12574005126953, 132.53236770629883, 539.6923446655273, 342.5361156463623], 'bbox': [0.60488397, 0.2761091, 0.8432693, 0.7136169], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:42,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [327.7006149291992, 139.30729866027832, 484.0785598754883, 319.7751045227051], 'bbox': [0.5120322, 0.29022354, 0.75637275, 0.66619813], 'tracking_id': 17}]",[]
