Time,DetectedObjects,NoInfringement,LowInfringement,HighInfringement,CriticalInfringement
2022-05-25 15:49:21,3,2,1,0,0
2022-05-25 15:50:21,1,1,0,0,0
2022-05-25 15:51:21,0,0,0,0,0
2022-05-25 15:53:04,3,2,1,0,0
2022-05-25 15:54:04,1,1,0,0,0
2022-06-01 10:00:21,2,2,0,0,0
2022-06-01 10:01:21,2,2,0,0,0
2022-06-01 10:02:22,2,2,0,0,0
2022-06-01 10:03:22,2,2,0,0,0
2022-06-01 10:04:22,2,2,0,0,0
2022-06-01 10:05:22,2,2,0,0,0
2022-06-01 10:06:22,2,2,0,0,0
2022-06-01 10:07:22,2,2,0,0,0
2022-06-01 10:08:22,2,2,0,0,0
2022-06-01 10:09:22,2,2,0,0,0
2022-06-01 10:10:22,2,2,0,0,0
2022-06-01 10:11:22,2,2,0,0,0
2022-06-01 10:12:22,2,2,0,0,0
2022-06-01 10:13:22,2,2,0,0,0
2022-06-01 10:14:22,2,2,0,0,0
2022-06-01 10:15:23,2,2,0,0,0
2022-06-01 10:16:23,2,2,0,0,0
2022-06-01 10:17:23,2,2,0,0,0
2022-06-01 10:18:23,2,2,0,0,0
2022-06-01 10:19:23,2,2,0,0,0
2022-06-01 10:20:23,2,2,0,0,0
2022-06-01 10:21:23,2,2,0,0,0
2022-06-01 10:22:23,2,2,0,0,0
2022-06-01 10:23:23,2,2,0,0,0
2022-06-01 10:24:23,2,2,0,0,0
2022-06-01 10:25:23,2,2,0,0,0
2022-06-01 10:26:23,2,2,0,0,0
2022-06-01 10:27:23,2,2,0,0,0
2022-06-01 10:28:24,2,2,0,0,0
2022-06-01 10:29:24,2,2,0,0,0
2022-06-01 10:30:24,2,2,0,0,0
2022-06-01 10:31:24,2,2,0,0,0
2022-06-01 10:32:24,2,2,0,0,0
2022-06-01 10:33:24,2,2,0,0,0
2022-06-01 10:34:24,2,2,0,0,0
2022-06-01 10:35:24,2,2,0,0,0
2022-06-01 10:36:24,2,2,0,0,0
2022-06-01 10:37:24,2,2,0,0,0
2022-06-01 10:38:24,2,2,0,0,0
2022-06-01 10:39:24,2,2,0,0,0
2022-06-01 10:40:25,2,2,0,0,0
2022-06-01 10:41:25,2,2,0,0,0
2022-06-01 10:42:25,2,2,0,0,0
2022-06-01 10:43:25,2,2,0,0,0
2022-06-01 10:44:25,2,2,0,0,0
2022-06-01 10:45:25,2,2,0,0,0
2022-06-01 10:46:25,2,2,0,0,0
2022-06-01 10:47:25,2,2,0,0,0
2022-06-01 10:48:25,2,2,0,0,0
2022-06-01 10:52:28,0,0,0,0,0
2022-06-01 10:58:30,0,0,0,0,0
2022-06-01 10:59:30,3,2,0,1,0
2022-06-01 11:00:30,3,3,0,0,0
2022-06-01 11:01:30,1,1,0,0,0
2022-06-01 11:02:31,1,1,0,0,0
2022-06-01 11:06:55,1,1,0,0,0
2022-06-08 08:47:57,11,11,0,0,0
2022-06-08 08:48:57,1,1,0,0,0
2022-06-08 09:31:51,2,2,0,0,0
2022-06-08 09:32:51,2,2,0,0,0
2022-06-08 09:33:52,2,2,0,0,0
2022-06-08 09:34:52,14,13,1,0,0
2022-06-08 09:35:52,17,16,1,0,0
2022-06-08 09:36:52,22,20,2,0,0
2022-06-08 09:37:52,22,20,2,0,0
2022-06-08 09:38:52,22,20,2,0,0
2022-06-08 09:39:52,22,20,2,0,0
2022-06-08 09:40:52,22,20,2,0,0
2022-06-08 09:41:53,22,20,2,0,0
2022-06-08 09:42:53,22,20,2,0,0
2022-06-08 09:43:53,22,20,2,0,0
2022-06-08 09:44:53,22,20,2,0,0
2022-06-08 09:45:53,22,20,2,0,0
2022-06-08 09:46:53,22,20,2,0,0
2022-06-08 09:47:53,22,20,2,0,0
2022-06-08 09:48:53,22,20,2,0,0
2022-06-08 09:49:54,22,20,2,0,0
2022-06-08 09:50:54,22,20,2,0,0
2022-06-08 09:51:54,22,20,2,0,0
2022-06-08 09:52:54,22,20,2,0,0
2022-06-08 09:53:54,22,20,2,0,0
2022-06-08 09:54:54,22,20,2,0,0
2022-06-08 09:55:54,22,20,2,0,0
2022-06-08 09:56:55,22,20,2,0,0
2022-06-08 09:57:55,22,20,2,0,0
2022-06-08 09:58:55,22,20,2,0,0
2022-06-08 09:59:55,22,20,2,0,0
2022-06-08 10:00:55,22,20,2,0,0
2022-06-08 10:01:55,22,20,2,0,0
2022-06-08 10:02:56,22,20,2,0,0
2022-06-08 10:03:56,22,20,2,0,0
